Time,GCD,DOT,Xunhuan,Longyin,Longya,Pofeng,Chuanyun,Zhanbafang,Mie,Liuxue,Poxue,ZTotal,DTotal,Meihua,DChuanyun,DDot,Zcover,Dcover,DMcover,DCcover,DDcover
960,24,32,A,9.4004,19.5804,1,6.051,7.1992,1.633,27.042,61.067,40,88.109,44.864,57.48244925,51.4688,1,0.734241667,1.1216,1.437061231,1.715626667
960,24,32,B,9.2224,18.7554,1,5.058,7.6358,0,28.671,62.191,36.86,90.862,41.6716,53.96075068,53.5474,0.9215,0.757183333,1.04179,1.349018767,1.784913333
960,23,31,A,9.9156,20.6058,1,6.3308,7.5336,1.733,32.758,64.709,42,97.467,47.1188,60.43647393,58.6416,1.05,0.812225,1.17797,1.510911848,1.95472
960,23,31,B,9.4166,19.2654,1,5.1228,7.8446,0,33.11,65.173,37.705,98.283,42.6494,55.29196606,59.1792,0.942625,0.819025,1.066235,1.382299152,1.97264
960,23,30,A,9.9156,20.6058,1,6.3308,7.5336,1.733,33.495,66.322,42,99.817,47.1188,60.43647393,60.0238,1.05,0.831808333,1.17797,1.510911848,2.000793333
960,23,30,B,9.0554,18.7082,1,5.7792,8.0176,0,35.058,69.979,37.816,105.037,42.5604,54.96749071,63.0496,0.9454,0.875308333,1.06401,1.374187268,2.101653333
960,22,30,A,8.6362,19.949,1,9.513,7.1076,2.321,34.585,70.477,44,105.062,48.5268,61.20814338,62.7758,1.1,0.875516667,1.21317,1.530203585,2.092526667
960,22,30,B,9.1516,21.006,1,9.6344,8.0022,0,34.196,72.601,43.961,106.797,48.7942,62.26517704,63.2364,1.099025,0.889975,1.219855,1.556629426,2.10788
960,22,29,A,8.6362,19.949,1,9.513,7.1076,2.321,35.354,72.478,44,107.832,48.5268,61.20814338,64.3452,1.1,0.8986,1.21317,1.530203585,2.14484
960,22,29,B,9.1516,21.006,1,9.6344,8.0022,0,36.08,72.799,43.961,108.879,48.7942,62.26517704,65.1996,1.099025,0.907325,1.219855,1.556629426,2.17332
960,21,29,A,9.0466,20.9054,1,9.9458,7.3608,2.471,36.145,74.503,46,110.648,50.7296,64.03122409,65.9462,1.15,0.922066667,1.26824,1.600780602,2.198206667
960,21,29,B,9.3342,21.4292,1,9.8272,8.0572,0,36.695,74.497,44.717,111.192,49.6478,63.36426951,66.4938,1.117925,0.9266,1.241195,1.584106738,2.21646
960,21,28,A,9.0466,20.9054,1,9.9458,7.3608,2.471,32.264,75.322,46,107.586,50.7296,64.03122409,62.3928,1.15,0.89655,1.26824,1.600780602,2.07976
960,21,28,B,9.3282,21.4314,1,9.84,8.0518,0,33.781,75.147,44.724,108.928,49.6514,63.36565718,63.8398,1.1181,0.907733333,1.241285,1.58414143,2.127993333
960,20,27,A,9.4308,21.8628,1,10.3582,7.6998,2.592,38.013,79.225,48,117.238,52.9436,66.89705176,69.703,1.2,0.976983333,1.32359,1.672426294,2.323433333
