Time,GCD,DOT,Longyin,Longya,Pofeng,Chuanyun,Zhanbafang,Mie,Liuxue,Poxue,Fenghu,Xunhuan
960,24,32,6.902,3.642,1,0.897,1.606,1.633,27.042,61.067,FALSE,A
960,24,32,2.082,13.282,0,4.295,4.661,0,0,0,TRUE,A
960,24,32,6.91,3.363,1,0,1.529,0,28.671,62.191,FALSE,B
960,24,32,1.927,12.827,0,4.215,5.089,0,0,0,TRUE,B
960,23,31,7.254,3.831,1,0.95,1.638,1.733,32.758,64.709,FALSE,A
960,23,31,2.218,13.979,0,4.484,4.913,0,0,0,TRUE,A
960,23,31,7.043,3.453,1,0,1.487,0,33.11,65.173,FALSE,B
960,23,31,1.978,13.177,0,4.269,5.298,0,0,0,TRUE,B
960,23,30,7.254,3.831,1,0.95,1.638,1.733,33.495,66.322,FALSE,A
960,23,30,2.218,13.979,0,4.484,4.913,0,0,0,TRUE,A
960,23,30,6.803,3.917,1,0,2.374,0,35.058,69.979,FALSE,B
960,23,30,1.877,12.326,0,4.816,4.703,0,0,0,TRUE,B
960,22,30,6.409,6.125,1,2.961,2.55,2.321,34.585,70.477,FALSE,A
960,22,30,1.856,11.52,0,5.46,3.798,0,0,0,TRUE,A
960,22,30,6.898,6.756,1,2.828,2.313,0,34.196,72.601,FALSE,B
960,22,30,1.878,11.875,0,5.672,4.741,0,0,0,TRUE,B
960,22,29,6.409,6.125,1,2.961,2.55,2.321,35.354,72.478,FALSE,A
960,22,29,1.856,11.52,0,5.46,3.798,0,0,0,TRUE,A
960,22,29,6.898,6.756,1,2.828,2.313,0,36.08,72.799,FALSE,B
960,22,29,1.878,11.875,0,5.672,4.741,0,0,0,TRUE,B
960,21,29,6.721,6.437,1,3.131,2.592,2.471,36.145,74.503,FALSE,A
960,21,29,1.938,12.057,0,5.679,3.974,0,0,0,TRUE,A
960,21,29,7.041,6.866,1,2.86,2.296,0,36.695,74.497,FALSE,B
960,21,29,1.911,12.136,0,5.806,4.801,0,0,0,TRUE,B
960,21,28,6.721,6.437,1,3.131,2.592,2.471,32.264,75.322,FALSE,A
960,21,28,1.938,12.057,0,5.679,3.974,0,0,0,TRUE,A
960,21,28,7.035,6.867,1,2.844,2.341,0,33.781,75.147,FALSE,B
960,21,28,1.911,12.137,0,5.83,4.759,0,0,0,TRUE,B
960,20,27,6.996,6.72,1,3.313,2.661,2.592,38.013,79.225,FALSE,A
960,20,27,2.029,12.619,0,5.871,4.199,0,0,0,TRUE,A
960,20,27,6.961,7.059,1,2.284,3.545,0,38.04,77.95,FALSE,B
960,20,27,1.936,12.171,0,6.377,4.205,0,0,0,TRUE,B
960,20,26,6.996,6.72,1,3.313,2.661,2.592,38.915,81.625,FALSE,A
960,20,26,2.029,12.619,0,5.871,4.199,0,0,0,TRUE,A
960,20,26,7.027,7.047,1,2.211,3.755,0,40.582,86.775,FALSE,B
960,20,26,1.88,12.109,0,6.22,4.245,0,0,0,TRUE,B
960,19,26,7.403,7.149,1,3.606,2.75,2.798,40.21,84.637,FALSE,A
960,19,26,2.168,13.42,0,6.203,4.503,0,0,0,TRUE,A
960,19,26,7.182,7.241,1,2.352,3.675,0,42.489,89.16,FALSE,B
960,19,26,1.969,12.59,0,6.512,4.281,0,0,0,TRUE,B
960,19,25,7.403,7.149,1,3.606,2.75,2.798,41.009,86.728,FALSE,A
960,19,25,2.168,13.42,0,6.203,4.503,0,0,0,TRUE,A
960,19,25,7.139,7.171,1,1.966,4.334,0,42.2,87.077,FALSE,B
960,19,25,1.884,12.299,0,6.674,4.386,0,0,0,TRUE,B
1440,24,32,10.304,5.426,1,1.475,1.953,2.635,40.539,99.836,FALSE,A
1440,24,32,3.219,20.421,0,6.209,7.358,0,0,0,TRUE,A
1440,24,32,10.318,5.099,1,0,1.696,0,43.211,101.433,FALSE,B
1440,24,32,3.008,19.692,0,6.007,8.162,0,0,0,TRUE,B
1440,23,31,10.817,5.695,1,1.568,2.014,2.769,49.413,105.041,FALSE,A
1440,23,31,3.379,21.516,0,6.494,7.748,0,0,0,TRUE,A
1440,23,31,10.464,5.221,1,0,1.741,0,49.899,105.981,FALSE,B
1440,23,31,3.054,20.04,0,6.095,8.253,0,0,0,TRUE,B
1440,23,30,10.817,5.695,1,1.568,2.014,2.769,50.445,107.539,FALSE,A
1440,23,30,3.379,21.516,0,6.494,7.748,0,0,0,TRUE,A
1440,23,30,10.117,5.94,1,0,2.956,0,52.824,113.126,FALSE,B
1440,23,30,2.881,18.822,0,6.843,7.488,0,0,0,TRUE,B
