Jiasu,GCD,DOT,Xunhuan,Zcover,Dcover,DMcover,DCcover,DDcover
0,24,32,A,1,0.834488602,1.126781206,1.471030058,1.876246616
0,24,32,B,0.909371217,0.860261141,1.035252996,1.371877545,1.957824547
5,23,31,A,1.046620018,0.914248852,1.179392403,1.540179653,2.126733147
5,23,31,B,0.923769597,0.921789412,1.051749882,1.393974083,2.145932043
157,23,30,A,1.046620018,0.934310526,1.179392403,1.540179653,2.171686436
157,23,30,B,0.926377389,0.97495813,1.050334293,1.388171334,2.267747838
208,22,30,A,1.094210031,0.983374624,1.208779005,1.547361744,2.272500817
208,22,30,B,1.082691194,0.99331341,1.204836315,1.562137132,2.273576969
318,22,29,A,1.094210031,1.009028883,1.208779005,1.547361744,2.329358561
318,22,29,B,1.082691194,1.012063072,1.204836315,1.562137132,2.346955924
434,21,29,A,1.145880669,1.031937784,1.265879798,1.620867855,2.38345645
434,21,29,B,1.102980924,1.031372946,1.227488416,1.591655888,2.391256101
489,21,28,A,1.145880669,0.993439835,1.265879798,1.620867855,2.227460222
489,21,28,B,1.103050124,1.00122619,1.227451345,1.591609515,2.270136804
678,20,27,A,1.2,1.085556268,1.325715198,1.69790262,2.505750694
678,20,27,B,1.12635323,1.06112041,1.251395614,1.624744807,2.463924081
876,20,26,A,1.2,1.114654365,1.325715198,1.69790262,2.57018488
876,20,26,B,1.125362746,1.172508303,1.25010621,1.625925875,2.700478764
945,19,26,A,1.266511583,1.14518812,1.399249098,1.792520019,2.642285108
945,19,26,B,1.150229114,1.209295991,1.277986885,1.659432598,2.794309648
1092,19,25,A,1.266511583,1.174986354,1.399249098,1.792520019,2.708259595
1092,19,25,B,1.150867692,1.178509253,1.277291419,1.66132817,2.737319543
2000,19,25,A,Inf,Inf,Inf,Inf,Inf
2000,19,25,B,Inf,Inf,Inf,Inf,Inf
